SKU;Nome do produto;Categoria;Subcategoria;Descricao curta;Descricao completa;Unidade de venda;Qtd por embalagem;Marca;URL da imagem;Status;Estoque;Tem Variacao
160011;Queijo Provolone;Alimentos - Frios e Proteínas;Frios e Laticínios;Produto profissional;;Unidade;1;;;Inativo;0;NAO
160012;Azeitona Verde Sem Caroço 2,0 KG;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Embalagem (2,0Kg);1;;;Inativo;0;NAO
160012-69;Azeitona Verde Sem Caroco Emb.c/2kg Drenado;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Embalagem (2Kg);1;;;Inativo;0;NAO
160013;Azeite De Dende 500ml;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Frasco (500ml);1;;;Inativo;0;NAO
160014;Catchup De Tomate , 1kg;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Embalagem (1Kg);1;;;Inativo;0;NAO
160015;Mostarda Emb 01kg;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Embalagem (01Kg);1;;;Inativo;0;NAO
160016;Creme Tipo Chantilly Tetrapack;Alimentos - Bebidas e Mercearia;Café e Chás;Produto profissional;;Unidade;1;;;Inativo;0;NAO
160017;Suco Em Lata De 350ml Div.sabores;Alimentos - Bebidas e Mercearia;Sucos e Polpas;Produto profissional;;Frasco (350ml);1;;;Inativo;0;NAO
160018;Farinha, KG;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto a granel, medido em KG;;Unidade;1;;;Inativo;0;NAO
160019;Fuba De Milho 500g;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Embalagem (500G);1;;;Inativo;0;NAO
160020;Massa Fresca Para Lasanha 500g;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Embalagem (500G);1;;;Inativo;0;NAO
160021;Polpa De Fruta, Acerola;Alimentos - Bebidas e Mercearia;Sucos e Polpas;Produto a granel, medido em KG;;Unidade;1;;;Inativo;0;NAO
160022;Polpa De Fruta, Goiaba;Alimentos - Bebidas e Mercearia;Sucos e Polpas;Produto a granel, medido em KG;;Unidade;1;;;Inativo;0;NAO
160023;Polpa De Fruta, Caja;Alimentos - Bebidas e Mercearia;Sucos e Polpas;Produto a granel, medido em KG;;Unidade;1;;;Inativo;0;NAO
160024;Polpa De Fruta, Maracuja;Alimentos - Bebidas e Mercearia;Sucos e Polpas;Produto a granel, medido em KG;;Unidade;1;;;Inativo;0;NAO
160025;Polenta Pronta KG;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto a granel, medido em KG;;Unidade;1;;;Inativo;0;NAO
160026;Sorvete, Diversos Sabores, 100ml;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Frasco (100ml);1;;;Inativo;0;NAO
160027;Amendoim Torrado S/casca;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto a granel, medido em KG;;Unidade;1;;;Inativo;0;NAO
160028;Cappuccino Trad 200g;Alimentos - Bebidas e Mercearia;Café e Chás;Produto profissional;;Embalagem (200G);1;3Coraçoes;;Inativo;0;NAO
160029;Cappuccino Diet 200g;Alimentos - Bebidas e Mercearia;Café e Chás;Produto profissional;;Embalagem (200G);1;3 Corações;;Inativo;0;NAO
160030;Leite Ninho Em Po 400g;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Embalagem (400G);1;Nestle;;Inativo;0;NAO
160032;Doce Em Tablete Tipo Cocada, Emb C/50un;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Caixa;50;;;Inativo;0;NAO
160033;Açucar Refinado KG;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto a granel, medido em KG;;Unidade;1;;;Inativo;0;NAO
160034;Queijo Processado Blisteres 18g C/144un;Alimentos - Frios e Proteínas;Frios e Laticínios;Produto profissional;;Caixa;144;Jr;;Inativo;0;NAO
160035;Steak De Frango Empanado;Alimentos - Frios e Proteínas;Carnes e Embutidos;Produto a granel, medido em KG;;Unidade;1;;;Inativo;0;NAO
160036;Pertences Para Feijoada Emb 880g;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Embalagem (880G);1;;;Inativo;0;NAO
160037;Ovo De Galinha Branco Extra;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Unidade;1;;;Inativo;0;NAO
160038;Abacaxi;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Unidade;1;;;Inativo;0;NAO
160039;Alho;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto a granel, medido em KG;;Unidade;1;;;Inativo;0;NAO
160040;Cenoura;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto a granel, medido em KG;;Unidade;1;;;Inativo;0;NAO
160041;Coco Seco;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Unidade;1;;;Inativo;0;NAO
160042;Goiaba Vermelha;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto a granel, medido em KG;;Unidade;1;;;Inativo;0;NAO
160043;Hortela, Maço;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Unidade;1;;;Inativo;0;NAO
160044;Laranja Pera;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto a granel, medido em KG;;Unidade;1;;;Inativo;0;NAO
160045;Limao;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto a granel, medido em KG;;Unidade;1;;;Inativo;0;NAO
160046;Mamao Formosa Verde;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto a granel, medido em KG;;Unidade;1;;;Inativo;0;NAO
160047;Manga Tommy;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto a granel, medido em KG;;Unidade;1;;;Inativo;0;NAO
160048;Manjericao, Maço;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Unidade;1;;;Inativo;0;NAO
160049;Pepino;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto a granel, medido em KG;;Unidade;1;;;Inativo;0;NAO
160050;Sal 2500un;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Unidade;1;Jr;;Ativo;2;NAO
160051;Tomate;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto a granel, medido em KG;;Unidade;1;;;Inativo;0;NAO
160052;Banana Da Terra;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto a granel, medido em KG;;Unidade;1;;;Inativo;0;NAO
160053;Doce, Tipo Quindim 50g;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Embalagem (50G);1;;;Inativo;0;NAO
160054;Batata Inglesa;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto a granel, medido em KG;;Unidade;1;;;Inativo;0;NAO
160055;Cana-de-açucar;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Unidade;1;;;Inativo;0;NAO
160056;Cebola Branca;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto a granel, medido em KG;;Unidade;1;;;Inativo;0;NAO
160057;Cebolinha, Maço;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Unidade;1;;;Inativo;0;NAO
160058;Coxa E Sobrecoxa De Frango;Alimentos - Frios e Proteínas;Carnes e Embutidos;Produto a granel, medido em KG;;Unidade;1;;;Inativo;0;NAO
160059;Costela Suina;Alimentos - Frios e Proteínas;Carnes e Embutidos;Produto a granel, medido em KG;;Unidade;1;;;Inativo;0;NAO
160060;Salame, Tipo Italiano;Alimentos - Frios e Proteínas;Frios e Laticínios;Produto a granel, medido em KG;;Unidade;1;;;Inativo;0;NAO
160061;Peito De Peru;Alimentos - Frios e Proteínas;Frios e Laticínios;Produto a granel, medido em KG;;Unidade;1;;;Inativo;0;NAO
160062;Presunto De Pernil;Alimentos - Frios e Proteínas;Frios e Laticínios;Produto a granel, medido em KG;;Unidade;1;;;Inativo;0;NAO
160063;Mexilhao;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Unidade;1;;;Inativo;0;NAO
160064;Lula Em Anel;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Unidade;1;;;Inativo;0;NAO
160065;Suco, Sabor Uva/laranja, LT;Alimentos - Bebidas e Mercearia;Sucos e Polpas;Produto a granel, medido em LT;;Unidade;1;Marata;;Ativo;84;NAO
160066;Queijo Minas Frescal;Alimentos - Frios e Proteínas;Frios e Laticínios;Produto a granel, medido em KG;;Unidade;1;;;Ativo;27;NAO
160067;Queijo Minas Padrao;Alimentos - Frios e Proteínas;Frios e Laticínios;Produto a granel, medido em KG;;Unidade;1;;;Inativo;0;NAO
160068;Atum Ralado Em Oleo 500g;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Embalagem (500G);1;;;Inativo;0;NAO
160069;Queijo Coalho Barra 2kg;Alimentos - Frios e Proteínas;Frios e Laticínios;Produto profissional;;Embalagem (2Kg);1;;;Ativo;9;NAO
160070;Bala, Tipo Goma, Sabor Variado;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Unidade;1;;;Inativo;0;NAO
160071;Castanha, Origem Caju, Torrada;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto a granel, medido em KG;;Unidade;1;;;Inativo;0;NAO
160072;Queijo Parmesao Ralado 100g;Alimentos - Frios e Proteínas;Frios e Laticínios;Produto profissional;;Embalagem (100G);1;;;Inativo;0;NAO
190031;Amendoim Saquinho De 30g;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Embalagem (30G);1;;;Inativo;0;NAO
200001;Ervilha 200g;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto a granel, medido em LT;;Embalagem (200G);1;;;Inativo;0;NAO
200002;Açucar Cristal KG;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto a granel, medido em KG;;Unidade;1;;;Inativo;0;NAO
200003;Biscoito Max Goiabinha 30g;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Embalagem (30G);1;;;Inativo;0;NAO
200004;Biscoito Max Chocolate;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Unidade;1;;;Inativo;0;NAO
200005;Açucar Sache CX C/400un De 5g;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Caixa;400;Uniao;;Inativo;0;NAO
200006;Adoçante Stevia 80ml;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Frasco (80ml);1;Adocyl;;Inativo;0;NAO
200007;Adoçante Sucralose Sache 400x5g;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Embalagem (5G);1;;;Inativo;0;NAO
200009;Refrigerante Coca Cola Zero 2lt;Alimentos - Bebidas e Mercearia;Bebidas;Produto profissional;;Frasco (2L);1;;;Inativo;0;NAO
200010;Refrigerante Coca Cola 2,5lt;Alimentos - Bebidas e Mercearia;Bebidas;Produto profissional;;Frasco (2L);1;;;Inativo;0;NAO
200011;Arroz Integral KG;Alimentos - Bebidas e Mercearia;Grãos e Massas;Produto a granel, medido em KG;;Unidade;1;;;Inativo;0;NAO
200012;Vinagre 500ml;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Frasco (500ml);1;;;Inativo;0;NAO
200013;Aveia Em Flocos 500g;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Embalagem (500G);1;;;Inativo;0;NAO
200014;Biscoito Maizena 400g;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Embalagem (400G);1;;;Inativo;0;NAO
200015;Espaguete 500g;Alimentos - Bebidas e Mercearia;Grãos e Massas;Produto profissional;;Embalagem (500G);1;;;Inativo;0;NAO
200016;Doce De Goiaba PCT C/50un;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Pacote;50;Aliança;;Inativo;0;NAO
200017;Leite Liq Integral;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Unidade;1;Betania;;Inativo;0;NAO
200018;Sal Refinado KG;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto a granel, medido em KG;;Unidade;1;;;Ativo;10;NAO
200019;Feijao Carioca KG;Alimentos - Bebidas e Mercearia;Grãos e Massas;Produto a granel, medido em KG;;Unidade;1;;;Inativo;0;NAO
200020;Sardinha Em Lata Molho De Tomate;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Unidade;1;;;Inativo;0;NAO
200021;Achocolatado Po 350g;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Embalagem (350G);1;Nescau;;Inativo;0;NAO
200022;Flocos De Milho 500g;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Embalagem (500G);1;;;Inativo;0;NAO
200023;Oleo Soja Pet 900ml;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Frasco (900ml);1;;;Inativo;0;NAO
200024;Adoçante 100ml;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Frasco (100ml);1;Zero Cal;;Inativo;0;NAO
200025;Geleia Frutas,div Sab.blisteres 15g, CX C/144;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Caixa;1;Jr;;Inativo;0;NAO
200026;Cereal Matinal 200g;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Embalagem (200G);1;;;Inativo;0;NAO
200027;Pao, Tipo Forma Fatiado 500g;Alimentos - Panificados;Pães e Panificados;Produto a granel, medido em KG;;Embalagem (500G);1;;;Inativo;0;NAO
200028;Pao De Coco S/rec. C/cobert. De Coco Ralado 50g;Alimentos - Panificados;Pães e Panificados;Produto a granel, medido em KG;;Embalagem (50G);1;;;Inativo;0;NAO
200029;Pao De Queijo Cong, Tam Pequeno, PCT 400g;Alimentos - Frios e Proteínas;Frios e Laticínios;Produto profissional;;Pacote;1;;;Inativo;0;NAO
20003;Cafe A Vacuo Trad 250g;Alimentos - Bebidas e Mercearia;Café e Chás;Produto profissional;;Embalagem (250G);1;Uniao/Marata;;Inativo;0;NAO
200030;Mini Pao Australiano, Cong.s/recheio 25g;Alimentos - Panificados;Pães e Panificados;Produto a granel, medido em KG;;Embalagem (25G);1;;;Inativo;0;NAO
200031;Mini Croissant Cong. S/recheio,20g;Alimentos - Panificados;Pães e Panificados;Produto profissional;;Embalagem (20G);1;;;Inativo;0;NAO
200032;Azeitona Verde Fatiada 1,8kg;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Embalagem (1,8Kg);1;Mucho Gusto;;Inativo;0;NAO
200033;Molho Shoyo Gota Vd 150ml;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Frasco (150ml);1;;;Inativo;0;NAO
200034;Agua Mineral Sem Gas, Garrafa 1,5l;Alimentos - Bebidas e Mercearia;Bebidas;Produto profissional;;Frasco (1L);1;Diasdavila;;Inativo;0;NAO
200035;Refrigerante Em Lata 350ml Div.sabores;Alimentos - Bebidas e Mercearia;Bebidas;Produto profissional;;Frasco (350ml);1;;;Inativo;0;NAO
200036;Refrigerante Guarana Pet 1,5;Alimentos - Bebidas e Mercearia;Bebidas;Produto profissional;;Unidade;1;;;Inativo;0;NAO
200037;Refrigerante Limao Pet 1,5;Alimentos - Bebidas e Mercearia;Bebidas;Produto profissional;;Unidade;1;;;Inativo;0;NAO
200038;Refrigerante Laranja Pet 1,5;Alimentos - Bebidas e Mercearia;Bebidas;Produto profissional;;Unidade;1;;;Inativo;0;NAO
200039;Refrigerante Uva Pet 1,5;Alimentos - Bebidas e Mercearia;Bebidas;Produto profissional;;Unidade;1;;;Inativo;0;NAO
200040;Salgados Diversos, Emb. C/100un;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Caixa;100;;;Inativo;0;NAO
200041;Doce Em Tablete Tipo Pe-de-moleque, Emb C/50un;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Caixa;50;;;Inativo;0;NAO
200042;Barra De Cereal Div Sabores;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Unidade;1;;;Inativo;0;NAO
200043;Pao Brioche 25gr, Pre Assado E Congelado;Alimentos - Panificados;Pães e Panificados;Produto a granel, medido em KG;;Embalagem (25Gr);1;;;Inativo;0;NAO
200044;Pao Frances De Sal 50g Pre Assado E Congelado;Alimentos - Panificados;Pães e Panificados;Produto a granel, medido em KG;;Embalagem (50G);1;;;Inativo;0;NAO
200045;Petit Four Salgado Aprox.15g;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto a granel, medido em KG;;Embalagem (15G);1;;;Inativo;0;NAO
200046;Base Em Po Para Preparo De Molho Branco, 900g;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Embalagem (900G);1;;;Inativo;0;NAO
200047;Doce Chocolate Ao Leite No Minimo 25g C/50unid;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Caixa;50;;;Inativo;0;NAO
200048;Massa Para Pastel, Rolo Com 500g;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Embalagem (500G);1;;;Inativo;0;NAO
200049;Seleta De Legumes Em Conserva 200g;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Embalagem (200G);1;;;Inativo;0;NAO
200050;Pimenta Tipo Biquinho 190g;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Embalagem (190G);1;;;Inativo;0;NAO
200051;Manteiga Jr Com Sal 192x10g;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Embalagem (10G);1;;;Inativo;0;NAO
200052;Molho Bechamel Base Em Po (6,5kg) PCT 900g;Alimentos - Bebidas e Mercearia;Café e Chás;Produto profissional;;Pacote;1;;;Inativo;0;NAO
200053;Brocolis Congelado 300g;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Embalagem (300G);1;;;Inativo;0;NAO
200054;Plastico Bolha 1,20x100m;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Unidade;1;;;Inativo;0;NAO
200055;Bobina De Papel Ondulado 1,20m;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto a granel, medido em KG;;Unidade;1;;;Inativo;0;NAO
200056;Papelao Ondulado 60x45x50 Fl Dupla 760g/m²;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Embalagem (760G);1;;;Inativo;0;NAO
200057;Manteiga C/sal, Blisteres 10g, CX C/192;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Caixa;1;Jr;;Ativo;1;NAO
200058;Manteiga S/sal, Blisteres 10g, CX C/192;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Caixa;1;Jr;;Inativo;0;NAO
200059;Mel, Blisteres 15g CX C/144un;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Caixa;144;;;Inativo;0;NAO
200060;Açucar Sache 5g 996unid;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Embalagem (5G);1;Guarany;;Inativo;0;NAO
200061;Açucar Mascavo , Sache 6g CX C/250 Unid;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Caixa;250;Jr;;Inativo;0;NAO
200062;Adoçante Diet, Sache 8g, CX C/1000 Unid;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Caixa;1000;Jr;;Inativo;0;NAO
200064;Iogurte Activia Placa C/08unid 200g;Alimentos - Frios e Proteínas;Frios e Laticínios;Produto profissional;;Caixa;8;;;Inativo;0;NAO
200065;Presunto Rezende;Alimentos - Frios e Proteínas;Frios e Laticínios;Produto a granel, medido em KG;;Unidade;1;;;Inativo;0;NAO
200066;Margarina Deline Sadia Balde 3kg;Utensílios de Limpeza;Baldes;Produto profissional;;Barrica (5L);1;;;Inativo;0;NAO
200067;Tapioca;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto a granel, medido em KG;;Unidade;1;;;Inativo;0;NAO
200068;Prego Sem Cabeça Em Aço Carbono Bitola 10x10;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto a granel, medido em KG;;Unidade;1;;;Inativo;0;NAO
200069;Prego C/ Cabeça, Aço Carbono, Bitola 13x18;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto a granel, medido em KG;;Unidade;1;;;Inativo;0;NAO
200070;Camarao Encapotado Na Tapioca;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Unidade;1;;;Inativo;0;NAO
200071;Papelao Ondulado 47x47x40 Fl Dupla 760g/m²;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Embalagem (760G);1;;;Inativo;0;NAO
200072;Torta Confeitada;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto a granel, medido em KG;;Unidade;1;;;Inativo;0;NAO
200073;Agua Mineral 500ml C/g;Alimentos - Bebidas e Mercearia;Bebidas;Produto profissional;;Frasco (500ml);1;;;Inativo;0;NAO
200074;Molho Ingles Pet 900ml;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Frasco (900ml);1;;;Inativo;0;NAO
200075;Macarrao Penne 500g;Alimentos - Bebidas e Mercearia;Grãos e Massas;Produto profissional;;Embalagem (500G);1;;;Inativo;0;NAO
200076;Trigo P/kibe 500g;Alimentos - Bebidas e Mercearia;Grãos e Massas;Produto profissional;;Embalagem (500G);1;;;Inativo;0;NAO
200077;Extrato Tomate;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto a granel, medido em KG;;Unidade;1;;;Inativo;0;NAO
200078;Molho Desid Demi-glace (4,5kg);Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Pacote;1;Pct 900G;;Inativo;0;NAO
200079;Molho Desidratado Demi-glace;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Unidade;1;;;Inativo;0;NAO
20008;Refrigerante, Guarana Dietetico Pet 1,5lt;Alimentos - Bebidas e Mercearia;Bebidas;Produto profissional;;Frasco (1L);1;;;Inativo;0;NAO
200080;Caldo De Carne Po 1,0 KG;Alimentos - Frios e Proteínas;Carnes e Embutidos;Produto a granel, medido em KG;;Embalagem (1,0Kg);1;;;Inativo;0;NAO
200081;Cogumelo Champignon 2,0 KG;Alimentos - Bebidas e Mercearia;Café e Chás;Produto profissional;;Embalagem (2,0Kg);1;;;Inativo;0;NAO
200082;Cogumelo Champignon Inteiro 2,0 KG;Alimentos - Bebidas e Mercearia;Café e Chás;Produto profissional;;Embalagem (2,0Kg);1;;;Inativo;0;NAO
200083;Queijo Gorgonzola;Alimentos - Frios e Proteínas;Frios e Laticínios;Produto a granel, medido em KG;;Unidade;1;;;Inativo;0;NAO
200084;Shrink Transparente (fortline);Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto a granel, medido em KG;;Unidade;1;;;Inativo;0;NAO
200085;Bobina Papel Recic 90g Kraft 120x30;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Embalagem (90G);1;Santex;;Inativo;0;NAO
200086;Peixe Bacalhau;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto a granel, medido em KG;;Unidade;1;;;Inativo;0;NAO
200087;Agua Mineral 500ml S/g;Alimentos - Bebidas e Mercearia;Bebidas;Produto profissional;;Frasco (500ml);1;;;Inativo;0;NAO
200088;Macarrao, Tipo Semola, Talharim 500g;Alimentos - Bebidas e Mercearia;Grãos e Massas;Produto profissional;;Embalagem (500G);1;;;Inativo;0;NAO
200089;Pimenta Do Reino Em Po C/40g;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Embalagem (40G);1;;;Inativo;0;NAO
200090;Pimenta Do Reino Em Po, KG;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto a granel, medido em KG;;Unidade;1;;;Inativo;0;NAO
200091;Vinagre Balsamico 500ml;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Frasco (500ml);1;;;Inativo;0;NAO
200092;Fruta Em Calda, Goiaba 400g;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Embalagem (400G);1;;;Inativo;0;NAO
200093;Ricota Fresca;Alimentos - Frios e Proteínas;Frios e Laticínios;Produto a granel, medido em KG;;Unidade;1;;;Inativo;0;NAO
200094;Cesta Basica Gen Alim Montadas C/sacos Reforçados;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Unidade;1;;;Inativo;0;NAO
200095;Açucar Demerara Sache;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Unidade;1;;;Inativo;0;NAO
200096;Bacon;Alimentos - Frios e Proteínas;Carnes e Embutidos;Produto a granel, medido em KG;;Unidade;1;;;Inativo;0;NAO
20029090;Extrato Tomate Bonare Sache 6x2kg;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Embalagem (2Kg);1;Goias Verde;;Inativo;0;NAO
20058000;Milho Verde LT 6x2kg;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Embalagem (2Kg);1;Goias Verde;;Inativo;0;NAO
210001;Maionese 3kg;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Embalagem (3Kg);1;;;Inativo;0;NAO
210011;Eliminador De Oleosidade 1lt;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Frasco (1L);1;Hth;;Inativo;0;NAO
220001;Alcool 70, 05lt;Higiene e Sanitização;Álcool Líquido 70°;Desinfecção de superfícies;;Galão (5L);1;Meyors;;Inativo;0;NAO
220002;Alcool Gel 500ml;Higiene e Sanitização;Álcool Gel;Antisséptico e higienizador;;Frasco (500ml);1;Safra/Dermasoft;;Inativo;0;NAO
220003;Alcool 70º LT;Higiene e Sanitização;Álcool Líquido 70°;Desinfecção de superfícies;;Unidade;1;Flamagel;;Inativo;0;NAO
